variableSide,hypotenuse,hypotenuse_salted_small,hypotenuse_salted_medium,hypotenuse_salted_large
1.0,2000.0,2001.3923732250967,2012.2509241270488,2019.5287331368088
6.0,2000.01,2003.5198908207633,1997.5274175664965,2030.0597315957152
11.0,2000.03,1998.2980013086064,2017.2292793739366,2004.5803708882938
16.0,2000.06,2004.611219523334,1999.7909564235563,1982.82780356767
21.0,2000.11,1996.9793542632278,1982.706276094286,1990.6288202824264
26.0,2000.17,2001.3281975422708,2004.859840879196,1989.4373011220175
31.0,2000.24,2003.730291248941,2009.295712413838,2042.897501552604
36.0,2000.32,1999.8536916759676,1996.8479462031137,1969.0511665752183
41.0,2000.42,2003.7185457354592,2007.1545627305525,2036.7622751799559
46.0,2000.53,2003.2577895751324,2003.0167623386544,2019.1436297919186
51.0,2000.65,2000.3395866130807,1981.9679537662994,1962.5593889504826
56.0,2000.78,1996.5076187341447,2014.3676043751818,1984.8176083952026
61.0,2000.93,2003.2371602872404,2011.4930346517026,2013.353890418989
66.0,2001.09,2001.5383374569803,2006.6381047863224,1965.2010724210827
71.0,2001.26,1998.6650998896664,1983.7973931717434,2047.0298310340252
76.0,2001.44,2004.8539054669698,2007.9450557846546,1976.3993895368762
81.0,2001.64,2003.0949576572903,1999.6754978519252,1968.8399200203426
86.0,2001.85,1998.672165441027,1997.0835216004668,1955.3422303771476
91.0,2002.07,2006.0231724146568,2005.89426706568,1997.4075613551026
96.0,2002.3,1997.9101895722258,2018.2411907489432,2005.3932070612277
101.0,2002.55,2003.6221468940003,2008.2578997750816,2010.893494465935
106.0,2002.81,2002.1269137601803,1988.7163091648295,1971.8518695457922
111.0,2003.08,1999.5027526259926,2016.2190484301123,2005.095090560322
116.0,2003.36,2003.3036863590244,2017.9912457598502,1999.6024748511834
121.0,2003.66,1998.6711792002714,2022.9999256296353,1970.7992131370318
126.0,2003.97,2005.7911348636094,1988.0608966521384,1994.5909702552146
131.0,2004.29,2002.4992441886827,1992.8994585332719,2032.6066901957633
136.0,2004.62,2004.2230959591282,2021.8497141666787,2051.0472171083916
141.0,2004.96,2005.8714871880477,2023.4928260915688,2009.2134004286934
146.0,2005.32,2003.3644039040046,2001.4623395934207,2055.217679162038
151.0,2005.69,2007.8806660937846,2004.5940870605118,2009.0820441431708
156.0,2006.07,2002.086978445065,2000.3445675876126,1958.805843714992
161.0,2006.47,2007.2903768821116,2024.3927605874287,1973.12040761146
166.0,2006.88,2002.2145357089496,2009.1727970055308,1978.1626282067216
171.0,2007.3,2007.912959753868,2010.4077066109587,2005.8335178464367
176.0,2007.73,2004.8957565677542,2008.385296607552,2003.6231663136339
181.0,2008.17,2012.36490891447,2017.9080120214057,1989.4542058578793
186.0,2008.63,2007.7430238941918,2009.5465619379718,2052.5436936332744
191.0,2009.1,2008.751667940005,1989.8073978462623,1975.1013915930823
196.0,2009.58,2009.711784370701,2011.4008555418773,2014.5342158860146
201.0,2010.07,2012.498752844905,2012.63748586039,1966.518467440894
206.0,2010.58,2008.875823016932,2007.161743232321,1982.8379198666305
211.0,2011.1,2006.5550965351047,2025.3126867071746,2013.042823644057
216.0,2011.63,2016.2566700907857,2009.195161668454,2046.073557435431
221.0,2012.17,2009.2746366078454,2027.1469554756914,1968.467202070086
226.0,2012.73,2013.4001204665037,2011.6632890212045,2003.226082395661
231.0,2013.3,2011.5494699498363,2005.8969528063262,2044.2966819211088
236.0,2013.88,2009.687324015981,2017.4593591229543,2026.4249559993254
241.0,2014.47,2017.6371563238079,2014.6186084156739,2032.5219690632084
246.0,2015.07,2019.3087540441386,2011.748585587909,2012.8978739541883
251.0,2015.69,2017.4894705368304,2018.851412666539,2022.0578642362823
256.0,2016.32,2016.0219528590512,2031.3816092310738,2063.926432123752
261.0,2016.96,2020.102346118149,2025.968481733852,2011.7505298392657
266.0,2017.61,2013.6324471386902,2009.5334385326103,1995.793480336425
271.0,2018.28,2015.4479539145907,2010.8670772763714,1993.0010112089985
276.0,2018.95,2021.9644981987933,2023.4767559268307,2010.2108453445037
281.0,2019.64,2019.0395565555837,2023.9854517380888,2049.105762582988
286.0,2020.35,2024.076053081013,2025.1827919105224,2028.8999131315886
291.0,2021.06,2023.3665125612613,2005.9141136532016,1991.2450590381525
296.0,2021.79,2022.7507760624483,2039.349748864019,1973.6623503841874
301.0,2022.52,2020.7778249176345,2039.7345019735317,2020.4525545451338
306.0,2023.27,2021.298511437182,2030.3371330703633,2058.488107052329
311.0,2024.04,2026.5739597421743,2028.412122756227,2000.1163834809984
316.0,2024.81,2026.921845043684,2030.4182903880007,2056.614218777955
321.0,2025.6,2028.0830621304985,2015.0560573427465,2025.864260521949
326.0,2026.39,2030.4372380712048,2041.0620453309532,2033.1194932048365
331.0,2027.21,2028.6326890312187,2014.28889892289,2053.849746618002
336.0,2028.03,2026.0098894162547,2042.0417305955161,2054.1936367951403
341.0,2028.86,2026.2640246263982,2021.3122360406658,2059.379299730591
346.0,2029.71,2029.4661816780324,2016.7849915678369,2025.8583805737255
351.0,2030.57,2027.5832608787684,2040.9993043119387,2044.7426268940892
356.0,2031.44,2028.7191786342628,2037.754789324807,2000.6543054895715
361.0,2032.32,2032.8141767456727,2024.599925498792,2047.69225060141
366.0,2033.21,2030.0128025721383,2051.7799163192276,2056.7191473022153
371.0,2034.12,2038.7354546655013,2049.2299535709094,2053.459963375245
376.0,2035.04,2035.4694193450146,2027.5562440277558,2082.597782302401
381.0,2035.97,2040.7931913375153,2021.179664190939,2017.622845447915
386.0,2036.91,2032.1827381426006,2049.0568632944905,2038.7948939825594
391.0,2037.86,2042.5894164689832,2024.8394507605872,2032.1627087621234
396.0,2038.83,2037.7710936441647,2038.0843154980955,2055.2996589090226
401.0,2039.8,2043.075977629956,2034.8383590758476,2031.6400713225435
406.0,2040.79,2039.2819363513042,2033.5403421530646,2018.2868669749157
411.0,2041.79,2044.6234250370858,2038.9380233935374,2041.2650308423156
416.0,2042.81,2039.6421293463939,2056.8420002885337,2000.2468699263259
421.0,2043.83,2046.6987633832134,2028.8629458607388,2018.7675221500758
426.0,2044.87,2041.8045605292605,2052.8967468292044,2060.5016416065846
431.0,2045.91,2042.845186142717,2047.1844052862027,2071.2013529065216
436.0,2046.97,2044.1425278744273,2040.4071901446216,2047.9475345874207
441.0,2048.04,2044.9009036927189,2040.3411489438163,2025.9500729291715
446.0,2049.13,2050.850973165427,2068.4776851889624,2048.985649718895
451.0,2050.22,2049.0914570816703,2046.291933440176,2070.525909678903
456.0,2051.33,2047.5683290425677,2038.2439865667034,2060.564900539956
461.0,2052.44,2049.107722644516,2033.6345657284523,2022.4308251333798
466.0,2053.57,2051.6136345099817,2037.942662779195,2015.6843699236813
471.0,2054.71,2051.0761969304776,2036.3898488548132,2050.973818495219
476.0,2055.86,2056.438566019712,2048.8531489742527,2023.4821423178319
481.0,2057.03,2052.8538425723505,2051.9183651356966,2105.701192833082
486.0,2058.2,2055.3497552009867,2052.8410937820427,2103.9761023942133
491.0,2059.39,2064.210322681114,2042.3598873668436,2048.8641327677974
496.0,2060.59,2059.148621891218,2074.5812169658234,2034.544893758816
501.0,2061.8,2066.2280880772373,2062.3709489985263,2083.8658944438994
506.0,2063.02,2065.2580689005295,2080.680205059225,2085.5479048408192
511.0,2064.25,2064.956547673861,2045.272273050107,2090.1317207657116
516.0,2065.49,2063.1306751756265,2053.5293777915977,2102.5335665103266
521.0,2066.75,2071.3702016251923,2080.465988329755,2044.3485479700578
526.0,2068.01,2066.8030984764237,2050.691939321658,2105.2639814499275
531.0,2069.29,2071.570666444031,2067.209313924065,2033.9662225813654
536.0,2070.58,2072.3766747109376,2084.484733957747,2075.2076393556704
541.0,2071.88,2067.5762379292964,2082.5783046790184,2063.4624353350014
546.0,2073.19,2076.673807539734,2076.028540994357,2115.814365499274
551.0,2074.51,2072.6060402094245,2078.1788690353023,2056.602763969777
556.0,2075.85,2075.871559060356,2060.26817345565,2108.6693086522005
561.0,2077.19,2078.653654042369,2073.7441431784987,2065.464921595376
566.0,2078.55,2076.344548460983,2082.0830636597034,2085.6445363339776
571.0,2079.91,2079.430931839507,2093.3939811656783,2083.160470048016
576.0,2081.29,2078.214201153794,2089.7146202313443,2067.173976476161
581.0,2082.68,2085.0487485026665,2068.655430738434,2103.0429681468613
586.0,2084.08,2087.1147255239307,2092.0376008561857,2120.444112545354
591.0,2085.49,2085.598722916166,2082.299076250025,2080.931281091804
596.0,2086.92,2086.740815725918,2075.9429909411933,2103.140277906539
601.0,2088.35,2089.1482422294985,2069.016678471607,2103.9409851471414
606.0,2089.79,2092.079615202414,2105.1286011599204,2128.855542211566
611.0,2091.25,2093.5089447945556,2077.64716289103,2092.472933149028
616.0,2092.71,2096.350344440512,2090.1747612110194,2112.5224648927183
621.0,2094.19,2093.9534374995474,2099.172258091991,2110.561278969981
626.0,2095.68,2097.908297840823,2091.665208916394,2088.231317921447
631.0,2097.18,2097.312436575409,2113.586538772333,2111.1664111902487
636.0,2098.69,2093.9635905751206,2096.1216058243003,2090.9031188597196
641.0,2100.21,2103.129531350397,2114.5108428452663,2130.931185585344
646.0,2101.74,2105.2156701404356,2121.1831045787385,2125.8608757054726
651.0,2103.28,2100.52684271106,2096.1795782050986,2085.6395391806104
656.0,2104.84,2107.5976453070466,2098.354111185672,2129.1143486694777
661.0,2106.4,2103.954298092447,2123.282850315783,2120.149927926098
666.0,2107.97,2110.454024609957,2116.0029070583755,2124.8460406244844
671.0,2109.56,2107.139047611744,2097.850222193402,2082.4348469120996
676.0,2111.16,2113.0444096830615,2111.725174711364,2086.540758350375
681.0,2112.76,2114.559498224488,2122.7558114558774,2121.932115738196
686.0,2114.38,2114.885697995999,2102.158750628841,2091.996530957671
691.0,2116.01,2116.3490349580907,2109.210873509841,2138.7811764787275
696.0,2117.64,2121.096786960016,2114.8432131575373,2162.487647418333
701.0,2119.29,2122.165013471391,2124.171636337011,2119.2437214462457
706.0,2120.95,2117.3218043268075,2113.159215580181,2087.734644077631
711.0,2122.62,2123.475057844281,2137.4734440014004,2099.2349807946935
716.0,2124.3,2122.7883800983473,2121.3919047545623,2153.7330358034915
721.0,2125.99,2130.659841549988,2108.6688090523294,2172.1902868877673
726.0,2127.69,2127.013088222936,2129.42935056171,2115.1309483521463
731.0,2129.4,2132.622883167878,2109.933383606523,2151.018617073241
736.0,2131.13,2127.282299487986,2116.854725649576,2137.7022941452988
741.0,2132.86,2133.25573599629,2137.5616165425877,2159.635994203471
746.0,2134.6,2130.7174411803207,2126.919091468265,2096.2004805404913
751.0,2136.35,2140.872278275551,2124.1795598912736,2153.449346396934
756.0,2138.12,2138.351947263757,2146.414118647512,2157.099295276875
761.0,2139.89,2139.3084034854724,2155.4075774142257,2188.7861561442214
766.0,2141.67,2144.724653228048,2143.429937746032,2129.6515047695098
771.0,2143.46,2138.951788955938,2143.726936751991,2096.9242015174445
776.0,2145.27,2149.4814151535534,2141.096699130262,2101.9381585926144
781.0,2147.08,2143.757823315385,2153.133282301374,2194.144597394211
786.0,2148.91,2147.3224709118695,2129.5383231128376,2124.2266938498547
791.0,2150.74,2149.318251949481,2148.353063467294,2126.162229812896
796.0,2152.58,2155.545394219901,2134.6974366748254,2189.8148252503565
801.0,2154.44,2152.7933889343963,2140.9379471933894,2113.671280901982
806.0,2156.3,2160.3790626891,2153.120660856467,2136.1490876321914
811.0,2158.18,2159.420376574073,2172.733432898055,2120.9970878714744
816.0,2160.06,2160.3282606639964,2153.1573597647994,2134.457856449304
821.0,2161.95,2160.5612120760347,2177.0130194427043,2205.8744546720645
826.0,2163.86,2160.7554995556065,2152.7716214462803,2208.3430040764547
831.0,2165.77,2166.0561178016396,2165.364843841265,2146.3093111020357
836.0,2167.69,2163.7292729550863,2170.8108446259407,2166.022995307688
841.0,2169.63,2169.0200708515636,2188.3252528873227,2156.9954983756943
846.0,2171.57,2171.9578793141254,2164.663754947694,2211.8525755337782
851.0,2173.52,2175.3814577442267,2171.4899656193847,2159.939016202225
856.0,2175.49,2170.8655724065225,2164.7501470259053,2224.7361989818464
861.0,2177.46,2175.6991256865754,2183.0897264477458,2221.6635638015023
866.0,2179.44,2175.6122349833254,2181.4431443892663,2228.0483693481906
871.0,2181.43,2182.913598521507,2189.4103529308086,2204.246237266009
876.0,2183.43,2186.426952639462,2178.476386134278,2191.3449943679525
881.0,2185.44,2183.6546665005026,2172.6483429353166,2144.950974942172
886.0,2187.46,2188.816385595026,2178.412315749977,2181.615138025529
891.0,2189.49,2188.714465064311,2209.1192315622334,2203.307397283783
896.0,2191.53,2193.26612543975,2190.7277488661084,2145.1181767521475
901.0,2193.58,2192.354793551768,2211.258406273425,2226.639322471588
906.0,2195.64,2199.381403582151,2203.708221440577,2241.1413936406957
911.0,2197.71,2194.510802636342,2215.269439179553,2243.2229736403424
916.0,2199.79,2201.9454744361046,2192.5172408015133,2150.4590218516355
921.0,2201.87,2199.350076482508,2187.5949442294846,2211.5200210509915
926.0,2203.97,2204.5113869733823,2213.529653931515,2244.4742242922803
931.0,2206.07,2201.985045182799,2203.2959630506653,2227.842649293867
936.0,2208.19,2210.4460608118275,2207.613900952251,2169.2073371898723
941.0,2210.31,2209.424878613105,2200.589488493506,2221.7120585724333
946.0,2212.45,2211.143739364249,2222.265016785374,2181.4203437481956
951.0,2214.59,2215.306527636189,2198.4865795361097,2176.840828625433
956.0,2216.74,2218.306898893705,2206.7929198134693,2175.230828242514
961.0,2218.9,2220.4881694546543,2204.5871196203775,2188.3035484674447
966.0,2221.07,2216.693181940027,2209.327954365794,2175.5770884707345
971.0,2223.25,2224.9654932903336,2241.738160167135,2266.2966276981197
976.0,2225.44,2228.102299985194,2245.161685021472,2211.9464444709283
981.0,2227.64,2224.294294118248,2235.242609980153,2190.652612827066
986.0,2229.84,2228.3912292687032,2240.7048777903633,2251.144674782928
991.0,2232.06,2235.9427517419003,2234.470284593074,2205.56901278122
996.0,2234.28,2229.632333750883,2214.990352626387,2282.217461645933
1001.0,2236.52,2234.6333041340245,2247.5455750272367,2271.8670186718437
1006.0,2238.76,2236.8688824746437,2222.7350120828078,2248.5837593402953
1011.0,2241.01,2239.0157230308555,2256.511845129102,2196.1290371000146
1016.0,2243.27,2247.696233546068,2232.9370740838976,2292.8422866845594
1021.0,2245.54,2246.2471002668954,2251.213631970206,2268.670898039871
1026.0,2247.82,2245.9338070956546,2249.3201379569946,2265.7799102797317
1031.0,2250.1,2251.7470007631887,2246.910403656536,2230.297621994606
1036.0,2252.4,2253.300830913496,2270.819593747861,2293.046089237479
1041.0,2254.7,2254.1217723250247,2256.1315621831354,2272.7708031373154
1046.0,2257.01,2254.924276166513,2270.877774412724,2248.239325236255
1051.0,2259.34,2263.604454349086,2246.718114384445,2258.7186978153786
1056.0,2261.67,2260.905872457135,2273.426495592121,2248.286498624273
1061.0,2264.01,2265.348167245285,2261.913622037536,2229.3222493266744
1066.0,2266.35,2263.0306802053838,2284.3580952731245,2233.2177755090156
1071.0,2268.71,2268.912280256275,2266.0720977928,2286.0639079791376
1076.0,2271.07,2269.995338572335,2284.4529163366656,2276.4598150226607
1081.0,2273.45,2273.9918535984502,2260.5851291547033,2275.7317722725916
1086.0,2275.83,2276.2714145402438,2258.2514559344554,2268.287372625085
1091.0,2278.22,2281.5703089810268,2294.951212141448,2244.556540303063
1096.0,2280.62,2278.8786479139376,2263.4771391430563,2244.234304673141
1101.0,2283.02,2283.9302925399165,2290.378563020468,2331.3684962931334
1106.0,2285.44,2287.95347702658,2285.279945465094,2275.2334531715205
1111.0,2287.86,2286.1542554793596,2307.3052156694375,2243.868704209344
1116.0,2290.3,2291.167896253982,2281.966021943782,2275.742300961798
1121.0,2292.74,2294.5791672218147,2300.898473905409,2264.9830449277833
1126.0,2295.19,2291.459117810031,2277.412969744809,2314.3665184820397
1131.0,2297.64,2302.382500500149,2313.0764034383196,2305.047197975599
1136.0,2300.11,2302.0470484359594,2315.808769401432,2265.4330210614344
1141.0,2302.58,2300.731459862265,2286.318529644601,2292.6305916430915
1146.0,2305.06,2300.968405094413,2323.863400925405,2323.221819099879
1151.0,2307.55,2312.465373900318,2310.4278369591107,2353.81992046813
1156.0,2310.05,2310.696260634883,2304.280148318034,2309.9731210763607
1161.0,2312.56,2310.1120102559817,2293.573136650829,2294.408729405771
1166.0,2315.07,2311.1435815548552,2302.69742348126,2357.0918384029824
1171.0,2317.59,2315.010807359336,2302.7263701699862,2276.396087167585
1176.0,2320.12,2318.679281966548,2322.245791374112,2282.302213771482
1181.0,2322.66,2319.706926904509,2315.6950904196506,2282.349702596638
1186.0,2325.21,2329.9546034158307,2309.7177482938987,2345.984563648247
1191.0,2327.76,2323.6756101471556,2330.232719017354,2327.429916740156
1196.0,2330.33,2330.564149240853,2332.6637852271383,2363.1256935889255
1201.0,2332.9,2336.6413661510123,2338.70979849381,2306.530567760616
1206.0,2335.47,2331.366272483426,2346.0064304685507,2305.0731283554646
1211.0,2338.06,2334.624514276637,2326.0248995344714,2326.1688336097695
1216.0,2340.65,2342.9971482599026,2330.478327234388,2321.727383405229
1221.0,2343.25,2338.6108299286084,2361.085684789375,2349.1436018346953
1226.0,2345.86,2344.7358794042348,2326.140102587719,2391.7000377685495
1231.0,2348.48,2353.4395262929797,2338.775408920557,2382.303703157213
1236.0,2351.11,2352.1772911286616,2357.132784091875,2399.299684205143
1241.0,2353.74,2355.45027804617,2370.4894194057583,2329.7333195410392
1246.0,2356.38,2356.7563036241586,2353.8869877004245,2392.7918325483574
1251.0,2359.03,2359.78001211852,2351.9866029197215,2358.049931951409
1256.0,2361.68,2365.9833131290657,2375.9510366262616,2392.8190472123333
1261.0,2364.34,2364.4319923342396,2360.5837185100722,2326.135277015877
1266.0,2367.01,2369.243017682722,2360.781603407391,2351.7477465909537
1271.0,2369.69,2366.4493331029557,2369.7827622377613,2397.134778963692
1276.0,2372.38,2368.1474692132265,2354.8075901596435,2368.099744216333
1281.0,2375.07,2370.51726432698,2384.0344815518483,2408.045793035081
1286.0,2377.77,2381.8344730542444,2375.1796766891275,2403.3185343468535
1291.0,2380.48,2379.3067422992403,2394.0914278386535,2335.3775073646107
1296.0,2383.19,2384.7501667784136,2380.7284494826085,2343.9390992800436
1301.0,2385.92,2385.58862543145,2403.303135283323,2380.150606758298
1306.0,2388.65,2392.6538466022103,2405.1222947230153,2378.5893064103147
1311.0,2391.38,2394.3936388020306,2385.7406267482215,2350.145532621248
1316.0,2394.13,2391.306743709596,2394.7163588752433,2388.6024534343082
1321.0,2396.88,2401.028475189131,2401.5590760927644,2442.7143892312424
1326.0,2399.64,2403.0761555345466,2418.494920714577,2370.8328777298875
1331.0,2402.41,2400.5611723482352,2404.492692886674,2408.991051617145
1336.0,2405.18,2408.65245950821,2420.995546565507,2452.1063213178677
1341.0,2407.96,2403.1466068499017,2409.416207916511,2396.741973703318
1346.0,2410.75,2413.508252083317,2427.1034537354685,2415.2577886412573
1351.0,2413.55,2417.531574492652,2418.0694274119537,2438.959043587908
1356.0,2416.35,2420.544043960952,2415.8626890494265,2425.6833651646525
1361.0,2419.16,2422.5332667935436,2430.816587837879,2449.9060106728875
1366.0,2421.97,2426.6902351131716,2428.57606374455,2432.707794610105
1371.0,2424.8,2423.158492761988,2440.257419952339,2459.8690182936534
1376.0,2427.63,2422.8258964931847,2434.8523493120492,2470.892915352517
1381.0,2430.47,2425.966027269251,2432.7933043545663,2417.934716943122
1386.0,2433.31,2433.195324404786,2451.166110018584,2418.907307621838
1391.0,2436.16,2437.2819833028093,2420.826421236017,2404.9191758532183
1396.0,2439.02,2435.4263159611346,2435.2467514703994,2397.346003113481
1401.0,2441.88,2442.7678907938207,2438.7837281014263,2463.8072622610102
1406.0,2444.76,2439.9212633705824,2460.9580149886024,2426.2699107288227
1411.0,2447.64,2444.991719929614,2467.2376927613295,2492.23314880667
1416.0,2450.52,2452.5138842521424,2452.2412580682044,2488.103938961781
1421.0,2453.41,2456.85068993397,2453.9833751347305,2474.2632638817513
1426.0,2456.31,2457.5198270257906,2469.754503449879,2485.684719949097
1431.0,2459.22,2457.9473591898786,2448.593356853654,2410.095853683575
1436.0,2462.13,2464.1364129174376,2472.5985333398653,2476.7647022185092
1441.0,2465.05,2460.8019773850156,2453.6496644741246,2439.5167507336014
1446.0,2467.98,2465.8120344238555,2463.9602133302055,2449.9780225824557
1451.0,2470.91,2469.5978945780744,2456.9218055536194,2437.5463922707186
1456.0,2473.85,2473.8646123732133,2478.6658982079016,2469.351518088099
1461.0,2476.8,2479.8552529665967,2461.853914925579,2478.243853497243
1466.0,2479.75,2477.90517299041,2480.693231970577,2509.535322773826
1471.0,2482.71,2487.6922264294003,2498.7082970282127,2439.712358250329
1476.0,2485.67,2481.6599163856913,2488.4819685361053,2477.6531574555625
1481.0,2488.65,2490.352506302185,2477.869002332174,2534.8174285031864
1486.0,2491.63,2494.2437618844774,2487.432651129479,2534.141481585013
1491.0,2494.61,2496.6510611968147,2481.833946173173,2455.051308017218
1496.0,2497.6,2499.380660802075,2494.3602200744335,2488.635702414277
1501.0,2500.6,2500.6246993152536,2511.429145000116,2470.650682878842
1506.0,2503.6,2505.9200992681967,2514.4768493053857,2532.184420973023
1511.0,2506.62,2501.9956428085466,2488.6003469456,2528.33155124102
1516.0,2509.63,2507.753075248874,2522.528692861166,2536.670567395939
1521.0,2512.66,2511.049950101642,2505.477356961302,2475.3557908159337
1526.0,2515.69,2514.1510458325474,2507.2537184955245,2490.880405490276
1531.0,2518.72,2519.6417187072902,2524.831161574829,2539.275832449922
1536.0,2521.76,2518.8933188654414,2520.7565994263446,2472.233862929014
1541.0,2524.81,2525.020824721948,2536.3451690061684,2536.8424016729487
1546.0,2527.87,2527.706224057599,2525.9006449073217,2566.9266394515084
1551.0,2530.93,2534.8275179259413,2528.51604620918,2532.6678857330317
1556.0,2534.0,2536.6740516358864,2548.5101814596374,2531.527228370124
1561.0,2537.07,2533.591277373337,2546.518279164409,2532.404854777563
1566.0,2540.15,2544.718817013439,2544.9886155673717,2538.439562964015
1571.0,2543.23,2547.562428060716,2527.9063616506182,2570.1932476096163
1576.0,2546.33,2549.2038026863906,2555.871696543861,2506.9704705876698
1581.0,2549.42,2552.9704286219962,2543.520853950268,2534.5657870568016
1586.0,2552.53,2556.903674500422,2553.981366556066,2503.3748497461047
1591.0,2555.64,2555.588431331215,2540.216172467247,2599.182088823319
1596.0,2558.75,2563.149658146012,2572.9470132285396,2598.4414876199535
1601.0,2561.87,2557.3345037190634,2571.5502759127044,2567.507770187656
1606.0,2565.0,2565.5584460962696,2571.8070775112706,2519.657819292375
1611.0,2568.14,2569.679263080666,2575.8661061018997,2566.4832934974984
1616.0,2571.28,2568.123560963607,2590.3188144195433,2589.0291519706493
1621.0,2574.42,2577.5498979885633,2588.223177135359,2600.243493326196
1626.0,2577.57,2577.7319751240084,2564.676643207114,2625.880596869602
1631.0,2580.73,2582.1226397452956,2561.9917005799007,2599.385372568219
1636.0,2583.89,2581.669777636364,2594.0740143394064,2537.719880747341
1641.0,2587.06,2591.4294791134957,2579.2426784780746,2623.338922927321
1646.0,2590.23,2588.530207360901,2575.9291684160025,2559.565006253109
1651.0,2593.41,2595.048795672806,2600.3319305576083,2627.4212145873175
1656.0,2596.6,2601.2858542064823,2605.7955144872303,2614.6089197044025
